ideological_universe,ordinal_position,original_ordinal_position,party,classification_label,ideology_value_numeric,ideology_source,source_party_raw,election_year
all_parties,1,1,PSTU,extrema-esquerda,0.525,2025,PSTU,2022
all_parties,2,2,PCO,extrema-esquerda,0.566,2025,PCO,2022
all_parties,3,3,PCB,extrema-esquerda,0.711,2025,PCB,2022
all_parties,4,4,PSOL,extrema-esquerda,1.453,2025,PSOL,2022
all_parties,5,5,UP,esquerda,1.679,2025,UP,2022
all_parties,6,6,PCdoB,esquerda,1.834,2025,PCdoB,2022
all_parties,7,7,PT,esquerda,2.761,2025,PT,2022
all_parties,8,8,PSB,centro-esquerda,3.699,2025,PSB,2022
all_parties,9,9,REDE,centro-esquerda,3.802,2025,REDE,2022
all_parties,10,10,PDT,centro-esquerda,3.977,2025,PDT,2022
all_parties,11,11,PV,centro-esquerda,4.245,2025,PV,2022
all_parties,12,12,SOLIDARIEDADE,centro-direita,6.193,2025,SDD,2022
all_parties,13,13,CIDADANIA,centro-direita,6.358,2025,CDD,2022
all_parties,14,14,AVANTE,centro-direita,6.667,2025,AVANTE,2022
all_parties,15,15,MDB,centro-direita,6.698,2025,MDB,2022
all_parties,16,16,PMN,centro-direita,6.945,2025,PMN,2022
all_parties,17,17,PSDB,centro-direita,6.966,2025,PSDB,2022
all_parties,18,18,PSD,direita,7.151,2025,PSD,2022
all_parties,19,19,PMB,direita,7.512,2025,PMB,2022
all_parties,20,20,PODE,direita,7.666,2025,PODE,2022
all_parties,21,21,PROS,direita,7.677,2025,PROS,2022
all_parties,22,22,PRTB,direita,7.718,2025,PRTB,2022
all_parties,23,23,AGIR,direita,7.78,2025,AGIR,2022
all_parties,24,24,PTB,direita,7.955,2025,PTB,2022
all_parties,25,25,PP,direita,8.398,2025,PROGRE,2022
all_parties,26,26,DC,direita,8.46,2025,DC,2022
all_parties,27,27,REPUBLICANOS,extrema-direita,8.584,2025,REP,2022
all_parties,28,28,PSC,extrema-direita,8.666,2025,PSC,2022
all_parties,29,29,UNIÃO,extrema-direita,8.749,2025,UNIAO,2022
all_parties,30,30,PATRIOTA,extrema-direita,8.862,2025,PATRI,2022
all_parties,31,31,NOVO,extrema-direita,8.934,2025,NOVO,2022
all_parties,32,32,PL,extrema-direita,9.068,2025,PL,2022
